IDG P-A（家）,ISG P-A（家）,会议形式（自主或展会/论坛等）,城市,备注,大区,客户人数,执行季度,执行月,日期,是否住宿,是否包含XC内容,是否邀请CLT,活动简介/申请理由（请列出PA客户及核心客户）,父记录,目标客户群（B2/B3）多选,类别,纵队,纵队细分行业（例如教育-高教）,订单产出时间,预估SQL数量,预估SQL金额M＄,预计产出订单金额（M＄）,展会/论坛名称
9,7,自主,北京,,华北,30,Q2,8月,1723737600000.0,是,是,否,"1、邀请北京市新建院客户、重点商机客户、业内标杆客户 的信息中心负责人，在 新建院、多院区管理、1110 容灾方案、云桌面等领域进行引导，并宣传 北大一、积水潭、友谊等有影响力案例；
2、邀请行业总队傅总、姚宇轩，邀请 JV 医疗行业 罗总、谢刚、王晶 共同推动和商机挖掘；
3、活动设定计划参观天津工厂，根据客户事件，和出京限制情况具体安排；","[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['政府'],医疗,Q2-Q3,20,4.5,1.2,
0,0,自主,北京,,华北,30,Q2,9月,1725984000000.0,是,否,否,北京区域从Q1开始一直在推进AI模型领域的中小客户及ISV的覆盖和拓展，鉴于目前的客户覆盖及商机，区域希望尽快组织一场客户活动，希望通过此次活动迅速破冰，推介联想方案能力以及早期影响客户选型，助力销售！,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['综合'],综合（制造为主）,Q3-Q4,20,30(总部要求KPI）,1.5,北京战区AI模型客户活动-环球
-,-,自主,北京,总部指定，金科执行,华北,30,Q2,9月,1725552000000.0,是,否,否,邀请北京保险行业客户进行市场推广和商机收集活动,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['金融'],金融,Q3-Q4,20,5-10,1.5,总部金融数据中心论坛-北京站
2,9,自主,北京,,华北,20,Q2,9月,1727020800000.0,是,是,否,邀请北京重点行业，包含公交能、专业服务子行业信息部门负责人，面向客户推广联想联想智算解决方案、人工智能解决方案、大数据解决方案等方案，提升行业影响力，精准获取商机，强化客情关系,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['重点行业'],公交能,Q2-Q3,20,4.5,1.5,
4,8,自主,北京,,华北,30,Q3,11月,1730995200000.0,是,是,否,北京部署和市属高职校,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['教育'],高职,Q3-Q4,20,4,1.2,
4,4,自主,天津,,华北,15,Q2,7月,1721059200000.0,否,是,否,"1、邀请重点行业标杆客户集团中高层领导及分支结构领导，针对具体细分行业、细分应用场景定向推广智能制造、智算、XC替代方案、SSG服务方案，让客户深切体会到联想的3S转型，挖掘更多基础硬件之外的商机；
2、与天津泰达集团进行战略合作签约，邀请大区总经理、总部行业负责人、天津市滨海新区政府、国资委等相关人员出席，加强背书并与客户深入沟通交流；
3、结合联想在天津的产业落地，进一步拉通与重点行业标杆客户的客情关系，提升我们在客户端的品牌影响力，落地更多项目。","[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],重点行业,Q3-Q4,20,4.5,1.2,
4,4,自主,石家庄,,华北,10-20,Q2,9月,1726156800000.0,是,否,否,流程/离散制造方案推广，AI视觉、AI巡检、智慧产区等方案推广，提升行业影响力，精准获取商机，强化客情关系,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,,15,3.5,,
3,0,自主,天津,,华北,15,Q2,9月,1727280000000.0,否,是,否,"1、邀请天津市全教育行业中重点及标杆性院校项目直接负责人，面向客户推广联想智慧教育解决方案、信创替换解决方案、机房建设及产教融合等方案，提升行业影响力，精准获取商机，强化客情关系；落地标杆性项目
2、与天津职业大学进行战略合作签约，邀请大区总经理、总部教育行业负责人金鑫、天津市教委、工信局相关人员出席，加强背书并与客户深入沟通交流；
3、邀请客户参观天津工厂，展现联想在天津的业务规模，更是产教融合优势的强化，将大大增强客户信心。","[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],普教,,10,3.5,,
,7,自主,呼和浩特,,华北,20,Q2,8月,1724256000000.0,是,是,否,"邀请能源和电力行业重点客户，沟通推广联想整体解决方案，包括ISG解决方案、智能会议系统、智慧矿山、巡检系统等。加深进一步合作，提升ISG等产品的采购率和认可度。
邀请战总、行业、售前等出席活动，加强背书","[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],公交能,Q2-Q3,15,3.5,1.2,
5,2,自主,深圳,,华南,20,Q1,6月,1719504000000.0,否,否,否,深圳智能制造客户覆盖，分享联想智能制造及研究院AI工业质检（待沟通）,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q2-Q3(1.华强方特统签项目552.12K，已经下单230K。2.华大智造已下单458K。3.欣旺达年度框采已中标，已下单178K。4.记忆科技已下单341K）,15,3.5,1.1,
2,3,自主,深圳,,华南,15,Q2,9月,1726156800000.0,否,否,否,邀请深圳重点客户走进南方工厂，参观与会议结合，分享联想智能制造解决方案，助力P-A客户开拓，强化客情关系，助力商机获取转化。预计邀请深圳先进微电子、TCL、康佳、科士达、传音、汉弘集团。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q3-Q4,20,3.5,1.1,
,7,自主,深圳,,华南,15,Q2,8月,1723737600000.0,是,是,否,深圳中小金融圈层客户经营（券商、保险、基金），主推XC、存储、智算,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],金融,"Q2~Q3
S0240509174001 招商证券 580万 7月；
T0240417607004 万和证券 200万 7月；
B400S2XJ-001B 太平洋保险 200万 7月。",15,3.5,1.7,
2,3,自主,长春,,东北,20,Q2,9月,1727280000000.0,是,否,否,一汽集团交流活动，一汽解放，一汽大众，启明信息，一汽奔腾，一汽丰田，富奥，富赛，富维,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['制造'],制造,,10,3.5,,
1,6,自主,长春,,东北,15,Q2,8月,1725033600000.0,是,否,否,联想智慧医疗行业研讨会，邀请全省医疗行业客户参加，宣贯联想智慧医疗整体解决方案，申请理由：联想医疗1110容灾备份存储方案非常适合医疗客户场景，全力推进医疗行业联想容灾备份存储的份额和客户粘性,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['政府'],医疗,Q3,10,3.5,1.2,
,3,自主,长春,客户时间原因，延期至9月,东北,20,Q2,9月,1727366400000.0,否,否,否,"吉大为高性能主要客户,并且有需求,我方在此客户一直处于弱势,希望有机会切入进去","[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['教育'],高教,Q3-Q4,10,3.5,1.2,
3,3,自主,长春,黑吉金融PA-ISG客户一共2家,东北,15,Q2,9月,1727366400000.0,是,否,否,"金融行业重点客户技术交流会议,地方金融客户为主含ProjectA客户,推广联想PC价值产品、ISG产品,深度挖掘商机。","[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['金融'],金融,,10,3.5,,
,4,自主,沈阳,,东北,20,Q1,6月,1719590400000.0,是,否,否,邀请沈阳市高校客户进行研讨，提升品牌行业拉力,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],高教,Q2-Q3,20,3.5,1.2,
1,1,联合第三方,西宁,,西北,20,Q2,8月,1724947200000.0,是,否,否,合作青海医疗信息协会，针对医疗客户沟通ISG相关产品、解决方案,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['政府'],医疗,Q2-Q4,15,3.5,1.3,
,2,自主,乌鲁木齐,,西北,20,Q2,8月,1723651200000.0,否,是,否,邀请金融客户进行KT及ISG相关产品、解决方案沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3', 'B1']",精品站,['金融'],金融,Q3-Q4,15,3.5,1.2,
2,,自主,宝鸡,,西北,20,Q2,9月,1727107200000.0,是,是,否,巩固普教客户关系，沟通KT及ISG相关产品、解决方案,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],普教,Q3-Q4,15,3.5,1.6,
4,3,自主,兰州,,西北,20,Q2,9月,1727193600000.0,否,是,否,邀请政府客户进行KT相关产品、解决方案沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['政府'],政府,,15,3.5,,
3,1,自主,上海,,华东,20,Q2,7月,1722009600000.0,是,是,否,邀请上海制造行业核心客户，进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['制造'],制造,Q3-Q4,15,3.5,1.3,
3,4,自主,上海,,华东,30,Q2,8月,1723737600000.0,是,是,否,邀请上海重点行业核心客户，进行解决方案及XC沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],标准站,['重点行业'],服务及其他,Q3-Q4,15,3.5,1.3,
7,6,自主,上海,,华东,20,Q2,8月,1723132800000.0,是,是,否,上海核心金融客户，聚焦金融数据中心转型升级的内在需求和动力，推动金融数据中心不断夯实以云计算、分布式、大数据、人工智能等为主的技术支撑体系，持续提升金融科技的服务供给能力和创新效能，有效发挥金融数据要素价值倍增效应，为金融行业数字化转型注入持久动能。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],金融,Q3-Q4,15,3.5,1.3,
7,,联合第三方,西安,希望纯推广费支持,西北,30,Q3,12月,1734105600000.0,是,是,,合作陕西省教育厅信创工作推进会，与普教客户沟通KT及ISG相关产品、解决方案，巩固客户关系,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['教育'],普教,Q3-Q4,20,4.5,1.3,
8,1,自主,泰州,,华东,15,Q2,9月,1727366400000.0,是,否,否,主要针对苏中制造业客户群，以智能制造和供应链等内容为核心的沟通交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],,Q3-Q4,20,3.5,1.2,
7,6,自主,合肥,,华东,30,Q3,11月,1731254400000.0,是,是,否,针对安徽制造企业核心头部客户，通过分享ISG服务器产品及数字化解决方案能力，助力业务商机挖掘,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],,Q3-Q4,25,4.5,1.3,
5,2,自主,郑州,,中东,20,Q2,8月,1723651200000.0,是,是,否,重点职教客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['教育'],职教,Q3,15,3.5,1,
3,3,自主,上海,,华东,15,Q2,8月,1723132800000.0,是,是,否,邀请上海重点行业核心客户，进行解决方案及XC沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],服务及其他,Q3-Q4,15,3.5,1.3,
5,2,自主,开封,,中东,20,Q2,9月,1726156800000.0,是,是,否,河南能源及电力客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['重点行业'],,,15,3.5,,
3,4,论坛,淄博,AR杨建新已经和纵队行业经理姚宇轩有过初步邮件沟通,中东,40+,Q2,8月,1722614400000.0,是,是,否,"山东省卫生健康委员会医疗管理服务中心召开的召开 2024 年山东省卫生健康信息标准化 应用管理培训班。
培训班规格高，针对性强，活动赞助费用5万，联想在大会上有20分钟的分享。结合展区，现场演示医院1110容灾备份一体化方案、展台展示医院信创电脑，笔记本，信创服务器解决方案；。","[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['政府'],医疗,Q2~Q3,30,4.5,1.3,2024 年山东省卫生健康信息标准化 应用管理培训
3,4,自主,洛阳,,中东,15,Q3,11月,1730390400000.0,是,否,否,覆盖郑州制造业客户群，主要覆盖邀请部分Project A及部分头部B3客户，以小站沙龙形式近距离分享交流，以离散轻工客户为核心，进行专项沟通，对于联想目前的智算中心方案、智慧办公设备，AI全栈式方案进行重点介绍，提升客户端认知了解，强化客情,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],,,15,3.5,,
4,6,联合第三方,烟台,,中东,40+,Q2,9月,1725552000000.0,是,否,否,山东CIO联盟主办的2024山东制造业数智峰会，与9月初在烟台召开，结合大会定制联想分论坛,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],,,30,4.5,,2024山东制造业数智峰会
2,3,,长沙,,中东,40,Q2,7月,1722009600000.0,是,否,否,联合湖南数字经济促进会，针对湖南省医药连锁及制药厂商等,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,标准站,['重点行业'],,,20,4.5,,
3,6,自主,淮安,,华东,30,Q2,8月,1722614400000.0,是,否,否,主要针对锡常制造业客户群，以智能制造和供应链等内容为核心的沟通交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],,Q2-Q3,15,4.5,1.2,
3,2,自主,南京,,华东,15,Q2,8月,1723737600000.0,是,否,否,主要针对南京制造业客户群，以智能制造和供应链等内容为核心的沟通交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],,Q2-Q3,15,3.5,1.2,
3,6,自主,南京,,华东,20,Q2,8月,1724947200000.0,是,是,否,覆盖江苏省内医疗客户群体，通过展示联想医疗解决方案等内容提升客户影响力,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['政府'],医疗,Q2-Q3,15,3.5,1.2,
8,4,自主,南京,,华东,15,Q2,8月,1724342400000.0,是,是,否,覆盖江苏省内高教客户群体协同高专委覆盖圈层客户，通过展示联想服务器产品实际应用案例等内容提升客户信任,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],高教,Q2-Q3,15,3.5,1.2,
7,2,自主,南京,,华东,15,Q2,9月,1727366400000.0,是,是,否,覆盖江苏省内核心职教圈层客户，通过展示联想教育解决方案等内容提升客户影响力,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],职教,Q3-Q4,15,3.5,1.2,
,1,自主,合肥,,华东,20,Q2,8月,1725033600000.0,是,是,否,覆盖安徽省内医疗客户，如省立医院等，展示联系智慧医疗解决方案提升行业影响力,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['政府'],医疗,Q2-Q3,15,3.5,1.2,
5,3,自主,上海,,华东,15,Q2,8月,1725033600000.0,是,否,否,邀请上海制造行业核心客户，进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],,,15,3.5,,
3,4,自主,上海,,华东,40,Q2,9月,1725292800000.0,是,否,否,邀请上海制造行业核心客户，进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],,,15,3.5,,
5,3,联合第三方,上海,,华东,20,Q3,10月,1729872000000.0,是,是,否,第三方要求上海核心金融客户，聚焦金融数据中心转型升级的内在需求和动力，推动金融数据中心不断夯实以云计算、分布式、大数据、人工智能等为主的技术支撑体系，持续提升金融科技的服务供给能力和创新效能，有效发挥金融数据要素价值倍增效应，为金融行业数字化转型注入持久动能。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],,,15,3.5,,2024第五届金融业数据中心创新发展论坛
3,2,自主,贵阳,,西南,20,Q3,10月,1729699200000.0,是,,否,主要以全国药企连锁为主，云贵邀请4家客户，纵队邀请6家,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],,,10,3.6,,
2,1,自主,成都,,西南,15,Q2,9月,1726848000000.0,是,否,否,邀请川藏制造业核心客户，进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],,,15,3.6,,
2,3,论坛,贵阳,,西南,15,Q2,8月,1724947200000.0,否,是,否,联合金科创新社，“2024第五届金融业数据中心创新发展论坛”邀请华南、西南地区银行、保险、证券、基金等金融企业科技、数据中心等部门基础架构、云计算、运维等负责人进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],,,15,3.5,,
,2,自主,昆明,,西南,20,Q2,9月,1726156800000.0,是,否,否,邀请昆明三甲医院及周边区县医院客户，进行专项沟通。展台展示医院信创电脑，笔记本，信创服务器解决方案；,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['政府'],医疗,Q2-Q4,15-20,3.5,1.2,
1,5,自主,长春,,东北,15,Q2,9月,1727107200000.0,是,否,否,"邀请吉林交通行业客户进行客户关系拓展,深挖商机。","[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['重点行业'],,Q3,15,3.5,1.2,
1,3,展会,沈阳,,东北,30,Q2,9月,1726070400000.0,是,否,否,搭载2024全球工业互联网大会，邀请辽宁省制造行业核心客户在此次大会期间做会中会，进行专项沟通。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],标准站,['制造'],,Q3-Q4,15,4.5,1.5,2024全球工业互联网大会
,,论坛,哈尔滨,,东北,30,Q2,9月,1725552000000.0,是,否,否,ISG算力大会-哈尔滨站，总部合办,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['综合'],,Q3-Q4,15,3.5,1.2,ISG算力大会哈尔滨站
2,10,自主,长沙,,中东,25,Q2,9月,1725638400000.0,是,是,否,聚焦湖南头部制造客户,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,,20,4.5,1.2,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
3,3,自主,厦门,,东南,15,Q2,9月,1727280000000.0,是,是,,邀请福建核心重点行业客户参会,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],公交、能源及服务,,12,3.5,1.12,
,3,与行业协会合作,绵阳 ,,西南,15,Q3,11月,1731081600000.0,否,否,否,借中国计算机学会绵阳分部成立十周年，展开其制造相关会员单元的交流活动，推广联想全栈战略及产品，助力产单,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,q3-q4,15,3.5,1.12,
2,4,,西安,,西北,20,Q3,11月,1731427200000.0,否,是,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,精品站,['金融'],金融,,15,3.5,,
1,3,与行业协会合作,珠海,,华南,15,Q3,11月,1731513600000.0,否,否,否,结合第三方，借助深圳工厂为抓手，覆盖珠海ISG产出的制造业客户,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q3-Q4,15,3.5,1.1,
,,自主,石家庄,,华北,10-20,Q3,11月,1732118400000.0,是,是,否,AI视觉、AI巡检、智慧产区等方案推广，提升行业影响力，精准获取商机，强化客情关系,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],公交能,,15,3.5,,
,4,,武汉,,中东,40,Q3,11月,1732204800000.0,是,是,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,标准站,['政府'],医疗,,,,1.2M,
1,5,与行业协会合作,深圳,,华南,15,Q3,11月,1732291200000.0,是,是,否,纵队与金融社协会联合举办邀约客户活动，深圳区域金融客户为主,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],金融,Q3-Q4,,,1,
2,2,自主,广州,,华南,15,Q3,11月,1732291200000.0,是,是,否,广州券商+银行，省内会议+住宿进行小圈层客户活动，促落单,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['金融'],金融,Q2-Q4,15,3.5,1.1,
,3,自主,杭州,,东南,20,Q3,11月,1732809600000.0,是,,否,聚焦杭州制造核心客户，进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q3-Q4,15,3.5,1.2,
